ad_spend,visitors,avg_session_minutes,conversion_rate,email_share,region,season,revenue
25899.78,80433,6.17,0.0385,0.3809,West,Q2,200107.6
8577.74,115339,4.25,0.0279,0.2101,North,Q4,155464.21
11679.76,70630,2.93,0.0332,0.32,East,Q4,148525.13
24084.1,105584,2.95,0.0347,0.4165,North,Q3,196104.69
22637.73,73008,5.14,0.0421,0.0611,South,Q4,187818.34
26128.37,73610,5.14,0.0339,0.4835,West,Q2,167749.68
14616.72,111939,8.1,0.0234,0.2713,South,Q4,200351.07
10251.35,75218,6.82,0.0332,0.4567,North,Q3,169899.01
16683.19,88646,5.38,0.034,0.3909,West,Q1,165296.92
17241.49,103165,4.57,0.0189,0.1735,South,Q4,169511.08
19408.24,42511,2.39,0.0208,0.1507,South,Q1,114588.36
17258.96,145348,3.94,0.0435,0.2853,South,Q3,253781.23
9394.61,94416,3.32,0.0353,0.193,North,Q1,151612.92
23467.45,74671,4.68,0.0546,0.3963,South,Q1,184265.53
10397.44,80707,4.93,0.0209,0.6284,East,Q4,136917.22
15791.41,83139,3.62,0.0222,0.1954,South,Q3,124917.53
6232.92,42502,5.9,0.0425,0.2502,North,Q2,115403.18
23428.68,126604,2.43,0.0195,0.611,West,Q3,147617.6
20744.16,48585,6.12,0.0196,0.3072,East,Q2,142975.62
15948.1,67444,4.8,0.0339,0.1942,,Q2,135265.41
22827.42,76209,3.64,0.0277,0.4948,East,Q1,139905.34
21650.86,98158,6.11,0.0504,0.3071,West,Q3,215860.98
12877.39,104925,5.03,0.0421,0.1726,East,Q3,171256.68
14801.22,76661,3.6,0.0277,0.5371,North,Q4,164220.08
15057.49,107656,3.98,0.0223,0.4411,North,Q1,117015.41
13560.65,98680,4.16,0.03,0.1158,South,Q2,155563.71
15554.32,150475,8.64,0.0531,0.7043,North,Q1,304699.75
19404.47,98050,3.98,0.0176,0.141,South,Q1,141066.58
13229.73,97796,5.82,0.0442,0.274,South,Q2,193495.5
23220.62,83092,5.8,0.0233,0.2047,West,Q1,178889.83
29328.78,102423,5.92,0.0232,0.1289,East,Q1,186042.63
9312.2,130867,4.89,0.0229,0.552,East,Q4,147824.27
23777.32,123577,3.3,0.0348,0.4989,North,Q2,208143.45
